step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
146,0.4,0.168,0.06,0.4,-0.287424,-0.002,-0.000576,0
147,0.397044,0.180372,0.06,0.4,-0.287495,0.010372,-0.026012,0
148,0.4,0.174257,0.06,0.397783,-0.289566,0.005366,-0.013842,0
149,0.4,0.175847,0.06,0.399446,-0.290122,0.006124,-0.012024,0
150,0.4,0.160164,0.06,0.399861,-0.284852,-0.009767,-0.003935,0
151,0.4,0.176965,0.06,0.399965,-0.290516,0.006982,-0.017699,0
152,0.4,0.181794,0.06,0.399991,-0.292249,0.011798,-0.013905,0
153,0.4,0.177767,0.06,0.399998,-0.290801,0.007768,-0.018872,0
154,0.4,0.172762,0.06,0.399999,-0.289047,0.002762,0.001677,0
155,0.4,0.176595,0.06,0.4,-0.290386,0.006595,0.018329,0
156,0.4,0.184035,0.06,0.4,-0.293069,0.014036,0.015389,0
157,0.4,0.193776,0.06,0.4,-0.296749,0.023776,0.013623,0
158,0.4,0.193267,0.06,0.4,-0.296552,0.023267,0.005208,0
159,0.4,0.18682,0.06,0.4,-0.294102,0.01682,-0.003849,0
160,0.4,0.18969,0.06,0.4,-0.295182,0.01969,-0.014093,0
161,0.4,0.190042,0.06,0.4,-0.295316,0.020042,-0.010362,0
162,0.4,0.193399,0.06,0.4,-0.296603,0.023399,0.001291,0
163,0.4,0.200945,0.06,0.4,-0.299579,0.030945,0.008083,0
164,0.4,0.179085,0.06,0.4,-0.291271,0.009085,0.00418,0
165,0.4,0.166983,0.06,0.4,-0.287083,-0.003017,-0.002675,0
166,0.4,0.179978,0.06,0.4,-0.291592,0.009978,0.00477,0
167,0.4,0.171393,0.06,0.4,-0.288576,0.001393,-0.007275,0
168,0.4,0.171238,0.06,0.4,-0.288522,0.001238,-0.016531,0
169,0.4,0.165497,0.06,0.4,-0.286589,-0.004503,-0.006798,0
170,0.4,0.176091,0.06,0.4,-0.290208,0.006091,0.002009,0
171,0.4,0.155933,0.06,0.4,-0.283515,-0.014067,0.004249,0
172,0.4,0.160729,0.06,0.4,-0.285034,-0.009271,0.006688,0
173,0.4,0.17644,0.06,0.4,-0.290331,0.00644,-0.016619,0
174,0.4,0.169779,0.06,0.4,-0.288025,-0.000221,-0.004063,0
175,0.4,0.157193,0.06,0.4,-0.28391,-0.012807,0.012322,0
176,0.4,0.163982,0.06,0.4,-0.28609,-0.006018,0.015859,0
177,0.4,0.16122,0.06,0.4,-0.285192,-0.00878,0.017653,0
178,0.4,0.172402,0.06,0.4,-0.288922,0.002402,0.012921,0
179,0.4,0.173556,0.06,0.4,-0.289322,0.003556,0.010456,0
180,0.4,0.165583,0.06,0.4,-0.286618,-0.004417,0.004798,0
181,0.4,0.165688,0.06,0.4,-0.286652,-0.004312,0.006713,0
182,0.4,0.17498,0.06,0.4,-0.289818,0.00498,-0.006558,0
183,0.4,0.172486,0.06,0.4,-0.288951,0.002486,0.01088,0
184,0.4,0.165791,0.06,0.4,-0.286687,-0.004209,-0.001695,0
185,0.4,0.168672,0.06,0.4,-0.28765,-0.001328,0.007427,0
186,0.4,0.169162,0.06,0.4,-0.287816,-0.000838,0.017746,0
187,0.4,0.176268,0.06,0.4,-0.29027,0.006268,0.019066,0
188,0.4,0.17882,0.06,0.4,-0.291177,0.00882,0.034716,0
189,0.4,0.174533,0.06,0.4,-0.289662,0.004533,0.000794,0
190,0.4,0.186007,0.06,0.4,-0.293799,0.016007,-0.0041,0
191,0.4,0.182068,0.06,0.4,-0.292349,0.012068,0.010635,0
192,0.4,0.16563,0.06,0.4,-0.286633,-0.00437,-0.006135,0
193,0.4,0.15413,0.06,0.4,-0.282956,-0.01587,-0.011623,0
194,0.4,0.162408,0.06,0.4,-0.285576,-0.007592,-0.001732,0
195,0.4,0.166896,0.06,0.4,-0.287054,-0.003104,-0.015167,0
196,0.4,0.149346,0.06,0.4,-0.281504,-0.020654,-0.008556,0
197,0.4,0.151768,0.06,0.4,-0.282234,-0.018232,-0.00054,0
198,0.4,0.162853,0.06,0.4,-0.285721,-0.007147,0.001058,0
199,0.4,0.171078,0.06,0.4,-0.288468,0.001078,0.002927,0
200,0.4,0.174995,0.06,0.4,-0.289823,0.004995,-0.00529,0
